Designator,Mid X,Mid Y,Layer,Rotation
REF**,165.99902,-172.667345,top,0
REF**,75.001002,-155.500006,top,0
REF**,122.001004,-48.499999,top,0
REF**,39.500497,-128.999001,top,0
REF**,133.500502,-146.00101,top,0
REF**,87.500501,-111.001005,top,0
REF**,131.500502,-111.001006,top,0
REF**,167.99801,-41.000998,top,0
REF**,144.500005,-163.999006,top,0
REF**,172.165093,-163.999015,top,0
REF**,84.500501,-76.001002,top,0
REF**,96.500002,-163.999006,top,0
REF**,118.999002,-153.500006,top,0
REF**,87.500501,-146.001009,top,0
REF**,172.99901,-33.998998,top,0
REF**,155.499508,-163.99901,top,0
REF**,165.999006,-83.500001,top,0
REF**,153.499508,-111.001002,top,0
REF**,18.501247,-41.000998,top,0
REF**,16.834413,-41.000998,top,0
REF**,109.499502,-111.001001,top,0
REF**,165.99902,-38.999998,top,0
REF**,106.499502,-41.000999,top,0
REF**,108.499502,-93.999002,top,0
REF**,21.000997,-171.001012,top,0
REF**,38.500497,-58.998999,top,0
REF**,25.16858,-163.999015,top,0
REF**,145.500005,-146.001006,top,0
REF**,62.499499,-111.001001,top,0
REF**,85.500501,-128.999001,top,0
REF**,142.500005,-128.999003,top,0
REF**,118.999002,-49.499999,top,0
REF**,75.001002,-120.500003,top,0
REF**,132.500502,-146.00101,top,0
REF**,154.499508,-58.998998,top,0
REF**,122.001004,-153.500006,top,0
REF**,153.499508,-163.999009,top,0
REF**,75.001001,-49.499999,top,0
REF**,165.999005,-155.500006,top,0
REF**,165.99902,-38.166581,top,0
REF**,96.500002,-146.001006,top,0
REF**,96.500002,-111.001004,top,0
REF**,48.499998,-146.001007,top,0
REF**,85.500501,-111.001006,top,0
REF**,155.499508,-128.999006,top,0
REF**,142.500005,-111.001004,top,0
REF**,95.500002,-93.999001,top,0
REF**,61.499499,-163.99901,top,0
REF**,51.499998,-76.001001,top,0
REF**,122.001006,-121.500003,top,0
REF**,106.499502,-128.999005,top,0
REF**,142.500005,-146.001007,top,0
REF**,49.499998,-58.998999,top,0
REF**,133.500502,-128.999001,top,0
REF**,132.500502,-41.000998,top,0
REF**,61.499499,-58.998998,top,0
REF**,62.499499,-128.999006,top,0
REF**,165.99902,-30.665831,top,0
REF**,118.999001,-86.500001,top,0
REF**,107.499502,-163.999009,top,0
REF**,154.499508,-111.001001,top,0
REF**,165.99902,-167.666845,top,0
REF**,40.500497,-93.999,top,0
REF**,177.99901,-41.000998,top,0
REF**,97.500002,-163.999006,top,0
REF**,28.000997,-176.001012,top,0
REF**,155.499508,-93.999002,top,0
REF**,173.831926,-41.000998,top,0
REF**,75.001002,-85.500001,top,0
REF**,153.499508,-93.999002,top,0
REF**,165.99902,-37.333164,top,0
REF**,28.000998,-84.500001,top,0
REF**,143.500005,-93.999001,top,0
REF**,172.99851,-163.999015,top,0
REF**,144.500005,-41.000999,top,0
REF**,38.500497,-93.999,top,0
REF**,40.500497,-58.998999,top,0
REF**,132.500502,-93.999,top,0
REF**,165.999005,-50.499999,top,0
REF**,173.831926,-163.999015,top,0
REF**,106.499502,-93.999002,top,0
REF**,40.500497,-76.001002,top,0
REF**,96.500002,-41.000998,top,0
REF**,108.499502,-163.99901,top,0
REF**,132.500502,-76.001002,top,0
REF**,176.332176,-163.999015,top,0
REF**,48.499998,-58.998999,top,0
REF**,165.999004,-51.499999,top,0
REF**,87.500501,-76.001002,top,0
REF**,28.000998,-154.500006,top,0
REF**,142.500005,-58.998999,top,0
REF**,86.500501,-41.000998,top,0
REF**,96.500002,-93.999001,top,0
REF**,60.499499,-128.999006,top,0
REF**,155.499508,-111.001001,top,0
REF**,109.499502,-163.99901,top,0
REF**,134.500502,-76.001002,top,0
REF**,118.999001,-51.499999,top,0
REF**,165.99902,-32.332664,top,0
REF**,142.500005,-163.999005,top,0
REF**,134.500502,-93.999,top,0
REF**,28.000997,-36.499748,top,0
REF**,170.49826,-41.000998,top,0
REF**,143.500005,-76.001001,top,0
REF**,38.500497,-41.000998,top,0
REF**,142.500005,-76.001001,top,0
REF**,109.499502,-76.001,top,0
REF**,39.500497,-93.999,top,0
REF**,118.999001,-50.499999,top,0
REF**,145.500005,-111.001003,top,0
REF**,60.499499,-146.001003,top,0
REF**,108.499502,-128.999006,top,0
REF**,122.001005,-49.499999,top,0
REF**,23.501747,-41.000998,top,0
REF**,145.500005,-41.000999,top,0
